Name,Category,Formula
Ammonioalunite,Sulfate,(NH4)Al3(SO4)2(OH)6
Ammonium_Chloride,Halide,NH4Cl
Ammonio-Illite/Smec,Phyllosilicate,"NH4Al2(Si3Al)O10(OH)2 + (NH4)0.33(Al,Mg)2Si4O10(OH)2*nH2O"
Ammonio-jarosite,Sulfate,(NH4)(Fe+3)3(SO4)2(OH)6
Ammonio-Smectite,Phyllosilicate,"(NH4)0.33(Al,Mg)2Si4O10(OH)2*nH2O"
Acmite,Inosilicate,NaFeSi2O6
Actinolite,Inosilicate,"Ca2(Mg,Fe+2)5Si8O22(OH)2"
Actinolite,Inosilicate,"Ca2(Mg,Fe+2)5Si8O22(OH)2"
Actinolite,Inosilicate,"Ca2(Mg,Fe+2)5Si8O22(OH)2"
Actinolite,Inosilicate,"Ca2(Mg,Fe+2)5Si8O22(OH)2"
Actinolite,Inosilicate,"Ca2(Mg,Fe+2)5Si8O22(OH)2"
Adularia,Tectosilicate,KAlSi3O8
Albite,Tectosilicate,NaAlSi3O8
Albite,Tectosilicate,NaAlSi3O8
Albite,Tectosilicate,NaAlSi3O8
Allanite,Sorosilicate,"(Ce,Ca,Y)2(Al,Fe3+)3(SiO4)3(OH)"
Almandine,Nesosilicate,Fe+23Al2(SiO4)3
Almandine,Nesosilicate,Fe+23Al2(SiO4)3
Almandine,Nesosilicate,Fe+23Al2(SiO4)3
Almandine,Nesosilicate,Fe+23Al2(SiO4)3
Almandine,Nesosilicate,Fe+23Al2(SiO4)3
Almandine,Nesosilicate,Fe+23Al2(SiO4)3
Alunite,Sulfate,"(Na,K)Al3(SO4)2(OH)6"
Alunite,Sulfate,"(Na,K)Al3(SO4)2(OH)6"
Alunite,Sulfate,"(Na,K)Al3(SO4)2(OH)6"
Alunite,Sulfate,"(Na,K)Al3(SO4)2(OH)6"
Alunite,Sulfate,"(Na,K)Al3(SO4)2(OH)6"
Alunite,Sulfate,"(Na,K)Al3(SO4)2(OH)6"
Amphibole,Inosilicate,"A0-1B2Y8Z8O22(OH,F,Cl)2 (A=Ca,Na,K;B=Ca,Fe+2,Li,Mg,Mn+2,Na;Y=Al,Cr,Fe+2,Fe+3,Mg,Mn+2,Ti;Z=Al,Si,Ti)"
Analcime,Tectosilicate,NaAlSi2O6*H2O
Andalusite,Nesosilicate,Al2SiO5
