Technique,Ordered Name,Coefficient
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'datolit1.spc Datolite HS442.3B', 'niter.spc Niter GDS43 (K-Saltpeter)', 'howlite.spc Howlite GDS155', 'alunite1.spc Alunite GDS84 Na03')","(0.24439672623874314, 0.057277339071611345, 0.012710959721648644, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'vermicu3.spc Vermiculite VTx-1.fls', 'howlite.spc Howlite GDS155')","(0.3508946633863342, 0.11192081856449267, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'howlite.spc Howlite GDS155')","(0.35952545195664354, 0.1185476192547421)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'pinnoite.spc Pinnoite NMNH123943')","(0.3796992827213713, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20', 'topaz3.spc Topaz Wigwam_Area_3_#13')","(0.2941349807336862, 0.25180967472349963, 0.20420893149224384, 0.045073379563381845, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'howlite.spc Howlite GDS155')","(0.3729988311194235, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'brucite.spc Brucite HS247.3B', 'howlite.spc Howlite GDS155')","(0.3959048017445675, 0.09198209555699487, 0.0)"
Forward Stepwise Regression,"('gypsum1.spc Gypsum HS333.3B', 'alunite3.spc Alunite GDS82 Na82', 'alunite5.spc Alunite HS295.3B', 'mizzoni3.spc Mizzonite HS350.3B HLSep')","(0.3125397609038905, 0.16147117291836038, 0.12749642111614817, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20', 'dickite2.spc Dickite NMNH46967')","(0.27087491973902356, 0.17863032502462792, 0.06482232611921737, 0.047173520729779234)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'brucite.spc Brucite HS247.3B', 'alunite6.spc Alunite SUSTDA-20', 'vermicu2.spc Vermiculite VTx-1.a <250')","(0.3082727883147122, 0.10046135634628978, 0.02922221535308765, 0.01726376886927959, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'niter.spc Niter GDS43 (K-Saltpeter)', 'rhodoch2.spc Rhodochrosite HS67 <250um', 'alunite1.spc Alunite GDS84 Na03')","(0.05822330890372241, 0.01026133656439528, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'dolomit1.spc Dolomite HS102.3B', 'ulexite1.spc Ulexite HS441.3B', 'kaolini4.spc Kaolinite KL502 (pxyl)')","(0.17714905644333226, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'datolit1.spc Datolite HS442.3B', 'howlite.spc Howlite GDS155')","(0.4821355804487916, 0.027425095131907995, 0.0)"
Forward Stepwise Regression,"('niter.spc Niter GDS43 (K-Saltpeter)', 'alunite3.spc Alunite GDS82 Na82', 'vermicu1.spc Vermiculite GDS13 Llano', 'alunite1.spc Alunite GDS84 Na03', 'howlite.spc Howlite GDS155')","(0.2231993819760474, 0.14869347801327704, 0.08498335235984086, 0.08388993131887873, 0.0)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'alunite6.spc Alunite SUSTDA-20', 'analcime.spc Analcime GDS1', 'antigor1.spc Antigorite NMNH96917 >250')","(0.2505556435081734, 0.11221864340509222, 0.10711169246435394, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'teepleit.spc Teepleite+Tron NMNH102798', 'dolomit2.spc Dolomite COD2005', 'alunite6.spc Alunite SUSTDA-20', 'howlite.spc Howlite GDS155')","(0.3750270687958161, 0.10890803237892381, 0.07724645054439187, 0.06305835398493363, 0.0355332812041847, 0.03438249708157601)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20')","(0.35248125328811175, 0.15616277073537901, 0.025601720049774946)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite4.spc Alunite AL706 Na', 'tremoli1.spc Tremolite HS18.3', 'a-chlori.spc Ammonium_Chloride GDS77')","(0.3261053517788189, 0.13504598479947355, 0.04794108567042088, 0.04378374736677001, 0.00023888139173021948)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'analcime.spc Analcime GDS1', 'howlite.spc Howlite GDS155')","(0.2812896281976564, 0.10641617485708428, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'howlite.spc Howlite GDS155', 'saponit2.spc Saponite SapCa-1.AcB')","(0.4063726015587504, 0.11408795684486157, 0.0)"
Forward Stepwise Regression,"('grossul1.spc Grossular HS113.3B-HCL', 'alunite3.spc Alunite GDS82 Na82', 'scolecit.spc Scolecite GDS7 acid trtd', 'howlite.spc Howlite GDS155', 'beryl2.spc Beryl HS180.3B', 'alunite1.spc Alunite GDS84 Na03', 'lizardi1.spc Lizardite NMNHR4687.a 280')","(0.11079189612434118, 0.10174235990343858, 0.06471079451070345, 0.0, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('monazite.spc Monazite HS255.3B', 'howlite.spc Howlite GDS155', 'alunite1.spc Alunite GDS84 Na03')","(0.12672688097838203, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'rivadavi.spc Rivadavite NMNH170164', 'analcime.spc Analcime GDS1', 'dolomit2.spc Dolomite COD2005', 'alunite6.spc Alunite SUSTDA-20', 'pinnoite.spc Pinnoite NMNH123943', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'thuring3.spc Thuringite SMR-15.c  32um')","(0.3614191759050176, 0.12411278988673899, 0.1219612320362294, 0.06125562372620998, 0.04927159651490933, 0.006276046457946548, 0.003469115480179514, 0.0)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20', 'topazi.spc Topaz HS184.3B')","(0.3690924572765457, 0.1283990979667438, 0.03542945395990982, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'jarosit6.spc Jarosite JR2501 K', 'alunite6.spc Alunite SUSTDA-20')","(0.48422105915465385, 0.16052337892572618, 0.08391640479684777, 0.036760656553290694)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20')","(0.3535806941871677, 0.1484289889105071, 0.06392570288480924)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'alunite3.spc Alunite GDS82 Na82', 'analcime.spc Analcime GDS1', 'jarosit4.spc Jarosite GDS101 Na-Sy 200')","(0.321122559280022, 0.17531828275869024, 0.1221037022763315, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'colemani.spc Colemanite GDS143', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'alunite1.spc Alunite GDS84 Na03')","(0.39300939956315956, 0.011287907743923901, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'alunite1.spc Alunite GDS84 Na03', 'howlite.spc Howlite GDS155', 'margarit.spc Margarite GDS106')","(0.328117924587578, 0.08467288502438715, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'alunite3.spc Alunite GDS82 Na82', 'analcime.spc Analcime GDS1', 'zoisite.spc Zoisite HS347.3B', 'lizardi1.spc Lizardite NMNHR4687.a 280')","(0.1436079542926254, 0.12797572959082143, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'analcime.spc Analcime GDS1', 'datolit1.spc Datolite HS442.3B')","(0.39623494478824667, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'chalcedo.spc Chalcedony CU91-6A', 'alunite6.spc Alunite SUSTDA-20', 'brucite.spc Brucite HS247.3B')","(0.32222046997315734, 0.16343089881449574, 0.09008318342357276, 0.08747009508445328, 0.0)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20')","(0.34954709873875783, 0.1388978190274211, 0.042822912949284246)"
Forward Stepwise Regression,"('alunite5.spc Alunite HS295.3B', 'rivadavi.spc Rivadavite NMNH170164', 'analcime.spc Analcime GDS1', 'dolomit2.spc Dolomite COD2005', 'alunite6.spc Alunite SUSTDA-20', 'lazurite.spc Lazurite HS418.3B')","(0.40893246987029463, 0.13373838016221906, 0.12227724849673872, 0.07097245734971394, 0.04004349728919676, 0.0)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20')","(0.35914135012511567, 0.176362937408492, 0.017610181269866004)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'actinol3.spc Actinolite HS315.4B', 'rivadavi.spc Rivadavite NMNH170164', 'howlite.spc Howlite GDS155', 'ulexite2.spc Ulexite GDS138 Boron CA')","(0.3299295945423049, 0.30133715375233844, 0.04458928382940822, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1')","(0.2471044551024375, 0.16470609753824686, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'colemani.spc Colemanite GDS143', 'kaolini1.spc Kaolinite CM9')","(0.34777190626578997, 0.17705374341889174, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'zoisite.spc Zoisite HS347.3B', 'kaolini4.spc Kaolinite KL502 (pxyl)', 'alunite1.spc Alunite GDS84 Na03')","(0.1462333855923147, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'mizzoni4.spc Mizzonite HS351.3BS', 'jarosit5.spc Jarosite GDS24 Na')","(0.4656890722219848, 0.044955438065360266, 0.0)"
Forward Stepwise Regression,"('alunite3.spc Alunite GDS82 Na82', 'pinnoite.spc Pinnoite NMNH123943', 'dolomit1.spc Dolomite HS102.3B')","(0.48887897015756937, 0.006279506123109181, 0.0)"
Forward Stepwise Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'pectoli2.spc Pectolite NMNH94865.b', 'alunite6.spc Alunite SUSTDA-20', 'brucite.spc Brucite HS247.3B')","(0.31055924601263074, 0.12749787107802182, 0.08009150930808064, 0.024825481769766095, 0.0)"
