Technique,Ordered Name,Coefficient
HySudeB,"('alunite5.spc Alunite HS295.3B', 'natroli1.spc Natrolite HS169.3B', 'alunite2.spc Alunite GDS83 Na63')","(0.050476028702065745, 0.03662929650746306, 0.01231078335161306)"
HySudeB,"('alunite5.spc Alunite HS295.3B', 'bloedite.spc Bloedite GDS147', 'a-alunit.spc Ammonioalunite NMNH145596', 'topazi.spc Topaz HS184.3B')","(0.1919033176292182, 0.007009258698180928, 0.001698981717211289, 0.001282895195303863)"
HySudeB,"('alunite5.spc Alunite HS295.3B', 'bloedite.spc Bloedite GDS147', 'topazi.spc Topaz HS184.3B', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'analcime.spc Analcime GDS1')","(0.1195962617843763, 0.015976482202245432, 0.007652348053536164, 0.005477759113388988, 0.0032309919463504367)"
HySudeB,"('alunite5.spc Alunite HS295.3B', 'alunite2.spc Alunite GDS83 Na63')","(0.1251851852175013, 0.05960756475691243)"
HySudeB,"('alunite1.spc Alunite GDS84 Na03', 'alunite5.spc Alunite HS295.3B', 'topazi.spc Topaz HS184.3B', 'a-alunit.spc Ammonioalunite NMNH145596', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'natroli2.spc Natrolite+Zeolit HS168.3B')","(0.06129783817543318, 0.059110203105775166, 0.007353035446661806, 0.004660118392094117, 0.003751257986799685, 0.0008804107782309134)"
HySudeB,"('alunite1.spc Alunite GDS84 Na03', 'alunite5.spc Alunite HS295.3B', 'bloedite.spc Bloedite GDS147', 'a-alunit.spc Ammonioalunite NMNH145596', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'topazi.spc Topaz HS184.3B')","(0.10358288564083008, 0.05162921629687461, 0.015248007955303046, 0.0031007953919801115, 0.0014600172559876632, 0.0014510067182146211)"
HySudeB,"('alunite1.spc Alunite GDS84 Na03', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'topazi.spc Topaz HS184.3B')","(0.1562846563121846, 0.003977048467168643, 0.00017296043508395747)"
HySudeB,"('alunite5.spc Alunite HS295.3B', 'alunite2.spc Alunite GDS83 Na63', 'alunite1.spc Alunite GDS84 Na03', 'bloedite.spc Bloedite GDS147', 'natroli2.spc Natrolite+Zeolit HS168.3B', 'analcime.spc Analcime GDS1', 'niter.spc Niter GDS43 (K-Saltpeter)')","(0.1679157003773887, 0.023854216938409077, 0.02233683231694983, 0.009422793363550667, 0.004767908513150939, 0.0005371326275201521, 0.0005101316414664927)"
HySudeB,"('alunite1.spc Alunite GDS84 Na03', 'alunite5.spc Alunite HS295.3B', 'topazi.spc Topaz HS184.3B')","(0.14002982526891092, 0.05530463751339343, 0.012301095317101038)"
HySudeB,"('alunite5.spc Alunite HS295.3B', 'alunite1.spc Alunite GDS84 Na03', 'bloedite.spc Bloedite GDS147', 'analcime.spc Analcime GDS1', 'a-alunit.spc Ammonioalunite NMNH145596', 'topazi.spc Topaz HS184.3B', 'lizardi1.spc Lizardite NMNHR4687.a 280')","(0.1469060624234139, 0.10495759785609442, 0.015156585548338987, 0.007460019094000795, 0.0038282393955285246, 0.0024282793344471026, 0.0010344020447793224)"
