Technique,Ordered Name,Coefficient
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'dickite1.spc Dickite NMNH106242', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'datolit1.spc Datolite HS442.3B', 'datolit2.spc Datolite SU51399')","(0.18796617, 0.17111363, 0.08838184, 0.01842588, 0.006258565, 0.0031804305, 0.00038031783)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'datolit1.spc Datolite HS442.3B', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'topazi.spc Topaz HS184.3B')","(0.26432052, 0.12079238, 0.016563265, 0.014618898, 0.0086020455, 0.007887003, 0.0028215973)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'howlite.spc Howlite GDS155', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'alunite2.spc Alunite GDS83 Na63', 'topazi.spc Topaz HS184.3B', 'talc1.spc Talc GDS23 74-250um fr')","(0.22113937, 0.15444249, 0.023302995, 0.019602664, 0.009720353, 0.0069222334, 0.0036610367, 0.0006149189)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'datolit1.spc Datolite HS442.3B', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'howlite.spc Howlite GDS155', 'calcite1.spc Calcite WS272', 'talc1.spc Talc GDS23 74-250um fr')","(0.18017279, 0.133325, 0.115326405, 0.015203381, 0.014301014, 0.003495257, 0.0006526396, 9.968757e-06)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'howlite.spc Howlite GDS155', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'topazi.spc Topaz HS184.3B', 'calcite1.spc Calcite WS272', 'dolomit1.spc Dolomite HS102.3B')","(0.2687242, 0.11755974, 0.043711726, 0.03629226, 0.014650783, 0.014634347, 0.002817786, 0.0017014575, 0.0011695973)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'datolit1.spc Datolite HS442.3B', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'topazi.spc Topaz HS184.3B')","(0.32779405, 0.14670566, 0.02566804, 0.018781299, 0.0097509585, 0.008991823, 0.0013181389)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'howlite.spc Howlite GDS155', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'datolit1.spc Datolite HS442.3B', 'lizardi2.spc Lizardite NMNHR4687.b 165', 'calcite1.spc Calcite WS272')","(0.2894304, 0.136983, 0.02568744, 0.024522934, 0.019041386, 0.0043352637, 0.0042700763, 0.0022781172, 0.0014226371)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20', 'datolit1.spc Datolite HS442.3B', 'alunite2.spc Alunite GDS83 Na63', 'lizardi1.spc Lizardite NMNHR4687.a 280', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'howlite.spc Howlite GDS155')","(0.2655694, 0.14349104, 0.057300016, 0.016803388, 0.013673925, 0.009034873, 0.0090093585, 0.007887538)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'alunite2.spc Alunite GDS83 Na63', 'howlite.spc Howlite GDS155', 'datolit1.spc Datolite HS442.3B', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'topazi.spc Topaz HS184.3B', 'talc1.spc Talc GDS23 74-250um fr', 'lizardi1.spc Lizardite NMNHR4687.a 280')","(0.33730122, 0.12053081, 0.032810703, 0.018098203, 0.013266516, 0.010132014, 0.009608172, 0.0037802646, 0.0030165077)"
LASSO Regression,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'datolit1.spc Datolite HS442.3B', 'howlite.spc Howlite GDS155')","(0.39672422, 0.15773152, 0.021319913, 0.011841444, 0.010492738)"
