Technique,Ordered Name,Coefficient
Mixed_Integer_Non-linear_Program,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'datolit1.spc Datolite HS442.3B', 'strontia.spc Strontianite HS272.3B')","(0.2062463565382669, 0.17287596444365996, 0.043610954543412905, 0.033292836127646934)"
Mixed_Integer_Non-linear_Program,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'alunite6.spc Alunite SUSTDA-20', 'strontia.spc Strontianite HS272.3B')","(0.208757154873684, 0.17456277973509815, 0.09739993807867625, 0.025436200090006432)"
Mixed_Integer_Non-linear_Program,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'beryl2.spc Beryl HS180.3B', 'datolit1.spc Datolite HS442.3B')","(0.30666003795507674, 0.12023741262505727, 0.099206762150652, 0.03329472642935213)"
Mixed_Integer_Non-linear_Program,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'cookeit1.spc Cookeite CAr-1.a 104-150u', 'a-jarosi.spc Ammonio-jarosite SCR-NHJ')","(0.35532092190157866, 0.17741409351354784, 0.06148560712396323, 0.045383135644385814)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'datolit2.spc Datolite SU51399')","(0.5173996220139224, 0.3454643290104132, 0.21022391014145123, 0.022705166413185176)"
Mixed_Integer_Non-linear_Program,"('alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'mascagn2.spc Mascagnite GDS65.b (fn)', 'pyrophy2.spc Pyrophyllite PYS1A <850um')","(0.2555310821707603, 0.2239922079382802, 0.06424897651067903, 0.04095925685969335)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'datolit1.spc Datolite HS442.3B')","(0.5390805739716406, 0.4297863471137141, 0.24530083460744334, 0.025706570019133387)"
Mixed_Integer_Non-linear_Program,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'howlite.spc Howlite GDS155', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.3426303107636184, 0.1263371264378485, 0.04485121268666381, 0.03881580708648318)"
Mixed_Integer_Non-linear_Program,"('analcime.spc Analcime GDS1', 'alunite5.spc Alunite HS295.3B', 'kaolini1.spc Kaolinite CM9', 'mascagn2.spc Mascagnite GDS65.b (fn)')","(0.26488977416238174, 0.1824587779021241, 0.11235242649154724, 0.07954823833951867)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'datolit1.spc Datolite HS442.3B')","(0.5074710683650737, 0.49034772097233464, 0.24782927714740619, 0.026682136389914155)"
Mixed_Integer_Non-linear_Program,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'datolit1.spc Datolite HS442.3B', 'strontia.spc Strontianite HS272.3B')","(0.32282903960404147, 0.1765161954568126, 0.029622630908975593, 0.023125988009532743)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'alunite5.spc Alunite HS295.3B', 'kaolini1.spc Kaolinite CM9')","(0.5825569554882595, 0.27996523171534055, 0.267545816734678, 0.07102303534852665)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'alunite5.spc Alunite HS295.3B', 'analcime.spc Analcime GDS1', 'gibbsit1.spc Gibbsite HS423.3B')","(0.5254693807266759, 0.3654221841436593, 0.27742413720041004, 0.07640184292972967)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'alunite5.spc Alunite HS295.3B', 'kaolini1.spc Kaolinite CM9')","(0.3539582348504617, 0.2718601556683791, 0.2101667843985402, 0.1060528388740464)"
Mixed_Integer_Non-linear_Program,"('analcime.spc Analcime GDS1', 'alunite5.spc Alunite HS295.3B', 'halloys5.spc Halloysite+Kaolinite CM29', 'mascagn2.spc Mascagnite GDS65.b (fn)')","(0.2718244284316656, 0.18348365970319336, 0.1517678313895948, 0.05425222541998029)"
Mixed_Integer_Non-linear_Program,"('alunite1.spc Alunite GDS84 Na03', 'analcime.spc Analcime GDS1', 'rhodoch1.spc Rhodochrosite HS338.3B', 'datolit1.spc Datolite HS442.3B')","(0.3328431448410645, 0.1345308801485082, 0.039187239583889165, 0.025655092970074272)"
