Technique,Ordered Name,Coefficient
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'zoisite.spc Zoisite HS347.3B', 'howlite.spc Howlite GDS155')","(0.37611810961849507, 0.08876291069937803, 0.06706962171602059)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'neodymiu.spc Neodymium_Oxide GDS34')","(0.42313719604066297, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'pyrophy2.spc Pyrophyllite PYS1A <850um')","(0.3166199812792407, 0.10599259688744074, 0.0)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'silliman.spc Sillimanite HS186.3B')","(0.2902405635395561, 0.1379726884027514, 0.0, 0.0)"
Forward Stepwise Regression,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'halloys3.spc Halloysite CM13')","(0.34902742853139473, 0.13923262423635865, 0.04989481141574774, 0.046432651328895964)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1')","(0.47739323696448166, 0.12146208756071195)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'datolit2.spc Datolite SU51399')","(0.39658204144187487, 0.16861281584632715, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'thuring1.spc Thuringite SMR-15.a 115um')","(0.4005939584328015, 0.10600578606679406, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1')","(0.42584405300860456, 0.111267886378305)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'cookeit1.spc Cookeite CAr-1.a 104-150u')","(0.43906948877838586, 0.11296448874122239, 0.0)"
Forward Stepwise Regression,"('kaolini4.spc Kaolinite KL502 (pxyl)', 'analcime.spc Analcime GDS1')","(0.14819123198698744, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1')","(0.43984625241023684, 0.14220726006785667)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'brucite.spc Brucite HS247.3B', 'alunite1.spc Alunite GDS84 Na03', 'mizzoni4.spc Mizzonite HS351.3BS', 'howlite.spc Howlite GDS155')","(0.3543748263020328, 0.1145609451288437, 0.08274146323305127, 0.07337179222022461, 0.0)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'brucite.spc Brucite HS247.3B', 'rhodoch1.spc Rhodochrosite HS338.3B', 'howlite.spc Howlite GDS155')","(0.42200900057249024, 0.13582659743465547, 0.06000441711828675, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'witherit.spc Witherite HS273.3B', 'dickite1.spc Dickite NMNH106242')","(0.1785243743695837, 0.17499371934547106, 0.0, 0.0)"
Forward Stepwise Regression,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'sauconit.spc Sauconite GDS135', 'halloys3.spc Halloysite CM13', 'a-alunit.spc Ammonioalunite NMNH145596', 'halloys4.spc Halloysite KLH503')","(0.2426880103287792, 0.17405047357049908, 0.00614156684533808, 0.0011565990075381267, 0.0, 0.0)"
Forward Stepwise Regression,"('kaolini4.spc Kaolinite KL502 (pxyl)', 'analcime.spc Analcime GDS1', 'zoisite.spc Zoisite HS347.3B', 'howlite.spc Howlite GDS155')","(0.14451182643939736, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('kaolini4.spc Kaolinite KL502 (pxyl)', 'analcime.spc Analcime GDS1')","(0.16053313681719056, 0.0)"
Forward Stepwise Regression,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'halloys3.spc Halloysite CM13', 'dolomit1.spc Dolomite HS102.3B')","(0.2625446772654314, 0.14969910141459136, 0.10193509202049125, 0.04409962979726877)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'pyrophy1.spc Pyrophyllite PYS1A fine g')","(0.3338496629642034, 0.13473164341271274, 0.0)"
Forward Stepwise Regression,"('neodymiu.spc Neodymium_Oxide GDS34', 'beryl2.spc Beryl HS180.3B', 'halloys4.spc Halloysite KLH503', 'howlite.spc Howlite GDS155', 'nontron2.spc Nontronite NG-1.a', 'brucite.spc Brucite HS247.3B', 'vermicu3.spc Vermiculite VTx-1.fls')","(0.11332168533464852, 0.08370761662151435, 0.04551833473576533, 0.02915735675226817, 0.00942033365728887, 0.0, 0.0)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'howlite.spc Howlite GDS155', 'saponit2.spc Saponite SapCa-1.AcB', 'brucite.spc Brucite HS247.3B', 'neodymiu.spc Neodymium_Oxide GDS34', 'butlerit.spc Butlerite GDS25')","(0.32267093413604786, 0.10599863633673227, 0.0822565985722299, 0.05042452128909859, 0.0, 0.0)"
