Technique,Ordered Name,Coefficient
HySudeB,"('halloys5.spc Halloysite+Kaolinite CM29', 'kaolini1.spc Kaolinite CM9', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'dolomit1.spc Dolomite HS102.3B', 'elbaite1.spc Elbaite NMNH94217-1.a 659', 'talc1.spc Talc GDS23 74-250um fr', 'pyrophy3.spc Pyrophyllite SU1421')","(0.13314919693553298, 0.049281131378575295, 0.013649396752167156, 0.00999085258742399, 0.007243788496459871, 0.004624036343346317, 0.003577012457532002)"
HySudeB,"('dickite1.spc Dickite NMNH106242', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'datolit1.spc Datolite HS442.3B', 'kaolini1.spc Kaolinite CM9', 'calcite1.spc Calcite WS272')","(0.030351507067729933, 0.025757160665317483, 0.012799543721982103, 0.0068395806669173265, 0.0020957059836090347)"
HySudeB,"('c-black.spc Carbon_Black GDS68 sm.ap.', 'kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'halloys5.spc Halloysite+Kaolinite CM29', 'gypsum1.spc Gypsum HS333.3B', 'dolomit1.spc Dolomite HS102.3B', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'rhodoch1.spc Rhodochrosite HS338.3B', 'lizardi1.spc Lizardite NMNHR4687.a 280')","(0.16904811912643095, 0.1563698384349024, 0.0336893827556069, 0.03099019644790516, 0.024124790178568452, 0.015457898518215505, 0.015394415617243383, 0.011695677539290055, 0.0027960900493152977)"
HySudeB,"('halloys5.spc Halloysite+Kaolinite CM29', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'dickite1.spc Dickite NMNH106242', 'talc1.spc Talc GDS23 74-250um fr', 'kaolini1.spc Kaolinite CM9', 'strontia.spc Strontianite HS272.3B')","(0.09967645477444943, 0.019643715497786693, 0.011726858153311199, 0.00464575149988301, 0.000995201745311853, 0.0009010946581329168)"
HySudeB,"('kaolini1.spc Kaolinite CM9', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'pyrophy3.spc Pyrophyllite SU1421', 'gibbsit2.spc Gibbsite WS214', 'datolit1.spc Datolite HS442.3B', 'elbaite1.spc Elbaite NMNH94217-1.a 659', 'talc1.spc Talc GDS23 74-250um fr')","(0.0848771385124756, 0.018659226950067193, 0.011318797151501067, 0.00824536434520669, 0.0029986607946657718, 0.0015769268794343884, 0.001343934949391507)"
HySudeB,"('halloys5.spc Halloysite+Kaolinite CM29', 'dickite1.spc Dickite NMNH106242', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'talc1.spc Talc GDS23 74-250um fr', 'elbaite1.spc Elbaite NMNH94217-1.a 659', 'datolit1.spc Datolite HS442.3B')","(0.05060728235775519, 0.02133603949015456, 0.015658503404878392, 0.010158871679777253, 0.003624616416231953, 0.0007973766612012419)"
HySudeB,"('halloys5.spc Halloysite+Kaolinite CM29', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'talc1.spc Talc GDS23 74-250um fr', 'datolit1.spc Datolite HS442.3B')","(0.07618253196092317, 0.018873799923443273, 0.010123975775792163, 0.004088393841300388)"
HySudeB,"('halloys5.spc Halloysite+Kaolinite CM29', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'carnall1.spc Carnallite NMNH98011', 'calcite1.spc Calcite WS272', 'pyrophy3.spc Pyrophyllite SU1421')","(0.2161638519058544, 0.022430917133529207, 0.01555757586916383, 0.009199374627304155, 0.004722084518709181)"
HySudeB,"('halloys5.spc Halloysite+Kaolinite CM29', 'kaolini5.spc Kaolinite GDS11 <63um', 'kaolini7.spc Kaolinite CM5', 'kaolini1.spc Kaolinite CM9', 'elbaite1.spc Elbaite NMNH94217-1.a 659', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'talc1.spc Talc GDS23 74-250um fr', 'epidote1.spc Epidote GDS26.a 75-200um')","(0.0420583103050888, 0.034023268724551296, 0.03354386850959947, 0.026835195389834504, 0.014905165751693783, 0.009834816911091825, 0.0076930043279985864, 0.0010311812082646726)"
HySudeB,"('kaolini5.spc Kaolinite GDS11 <63um', 'elbaite1.spc Elbaite NMNH94217-1.a 659', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'calcite1.spc Calcite WS272', 'talc1.spc Talc GDS23 74-250um fr')","(0.04481981502282662, 0.018788536301054506, 0.014707292646428696, 0.0005511123653781001, 0.0005385321234562614)"
