Technique,Ordered Name,Coefficient
LASSO Regression,"('halloys5.spc Halloysite+Kaolinite CM29', 'kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'calcite1.spc Calcite WS272', 'jarosit5.spc Jarosite GDS24 Na', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'pyrophy3.spc Pyrophyllite SU1421', 'carnall1.spc Carnallite NMNH98011', 'datolit1.spc Datolite HS442.3B', 'lizardi2.spc Lizardite NMNHR4687.b 165', 'chlorit3.spc Chlorite SMR-13.b 60-104u')","(0.1597868, 0.124734834, 0.101004735, 0.02366264, 0.011390175, 0.011296887, 0.009235045, 0.0054457104, 0.0036734755, 0.0026405961, 0.0024258129)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'halloys5.spc Halloysite+Kaolinite CM29', 'carnall1.spc Carnallite NMNH98011', 'calcite1.spc Calcite WS272', 'strontia.spc Strontianite HS272.3B', 'elbaite2.spc Elbaite NMNH94217-1.b 196', 'datolit1.spc Datolite HS442.3B', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'jarosit1.spc Jarosite GDS99 K-y 200C')","(0.23530722, 0.16748028, 0.076762035, 0.03330604, 0.021633018, 0.017705115, 0.009727536, 0.004032748, 0.0011389182, 0.0002961243)"
LASSO Regression,"('halloys5.spc Halloysite+Kaolinite CM29', 'analcime.spc Analcime GDS1', 'kaolini2.spc Kaolinite KGa-1 (wxyl)', 'calcite1.spc Calcite WS272', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'chlorit3.spc Chlorite SMR-13.b 60-104u', 'datolit1.spc Datolite HS442.3B', 'jarosit5.spc Jarosite GDS24 Na')","(0.1783781, 0.14066057, 0.088343844, 0.027566528, 0.02131344, 0.0032151095, 0.001988103, 0.00076121185)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'calcite1.spc Calcite WS272', 'halloys5.spc Halloysite+Kaolinite CM29', 'carnall1.spc Carnallite NMNH98011', 'pyrophy3.spc Pyrophyllite SU1421', 'datolit1.spc Datolite HS442.3B', 'dolomit1.spc Dolomite HS102.3B')","(0.26118112, 0.12558085, 0.021444052, 0.01778674, 0.01302321, 0.011846147, 0.008705696, 0.0070112785)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'halloys5.spc Halloysite+Kaolinite CM29', 'pyrophy3.spc Pyrophyllite SU1421', 'calcite1.spc Calcite WS272', 'datolit1.spc Datolite HS442.3B', 'carnall1.spc Carnallite NMNH98011', 'howlite.spc Howlite GDS155', 'dolomit1.spc Dolomite HS102.3B', 'jarosit5.spc Jarosite GDS24 Na')","(0.18024668, 0.129393, 0.11538395, 0.027369594, 0.022059677, 0.01364396, 0.013472433, 0.007015305, 0.004198265, 0.0006912431)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'halloys5.spc Halloysite+Kaolinite CM29', 'pyrophy3.spc Pyrophyllite SU1421', 'carnall1.spc Carnallite NMNH98011', 'dolomit1.spc Dolomite HS102.3B', 'datolit1.spc Datolite HS442.3B', 'calcite1.spc Calcite WS272')","(0.19367796, 0.15066774, 0.10134144, 0.039448544, 0.030030033, 0.025611037, 0.012991926, 0.006421189)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'kaolini3.spc Kaolinite KGa-2 (pxyl)', 'strontia.spc Strontianite HS272.3B', 'carnall1.spc Carnallite NMNH98011', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'calcite1.spc Calcite WS272', 'elbaite2.spc Elbaite NMNH94217-1.b 196', 'datolit1.spc Datolite HS442.3B')","(0.22092937, 0.191863, 0.04523795, 0.03856465, 0.028599447, 0.023883512, 0.013300702, 0.004468035, 0.0020450046)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'kaolini2.spc Kaolinite KGa-1 (wxyl)', 'halloys5.spc Halloysite+Kaolinite CM29', 'strontia.spc Strontianite HS272.3B', 'carnall1.spc Carnallite NMNH98011', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'datolit2.spc Datolite SU51399', 'talc1.spc Talc GDS23 74-250um fr')","(0.14880143, 0.13251713, 0.13218714, 0.023161637, 0.019074002, 0.013587549, 0.0049064616, 0.0044379844)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'calcite1.spc Calcite WS272', 'gypsum2.spc Gypsum SU2202', 'halloys5.spc Halloysite+Kaolinite CM29', 'dolomit1.spc Dolomite HS102.3B', 'datolit2.spc Datolite SU51399', 'pyrophy3.spc Pyrophyllite SU1421', 'carnall1.spc Carnallite NMNH98011')","(0.26024702, 0.139451, 0.02976985, 0.027593445, 0.016066179, 0.011917785, 0.01051223, 0.010098323, 0.0096692)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'halloys5.spc Halloysite+Kaolinite CM29', 'pyrophy3.spc Pyrophyllite SU1421', 'carnall1.spc Carnallite NMNH98011', 'calcite1.spc Calcite WS272', 'howlite.spc Howlite GDS155', 'datolit1.spc Datolite HS442.3B')","(0.19972761, 0.14675881, 0.1033625, 0.031614754, 0.029980518, 0.020901892, 0.0052603087, 0.003784695)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'dolomit1.spc Dolomite HS102.3B', 'calcite1.spc Calcite WS272', 'calcite2.spc Calcite HS48.3B', 'datolit1.spc Datolite HS442.3B', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'strontia.spc Strontianite HS272.3B', 'talc1.spc Talc GDS23 74-250um fr', 'pyrophy3.spc Pyrophyllite SU1421')","(0.33624884, 0.1558537, 0.049722634, 0.018474394, 0.012055937, 0.009505961, 0.00925159, 0.0068001263, 0.003946071, 0.0025166802, 0.0009132748)"
LASSO Regression,"('kaolini2.spc Kaolinite KGa-1 (wxyl)', 'analcime.spc Analcime GDS1', 'calcite1.spc Calcite WS272', 'carnall1.spc Carnallite NMNH98011', 'pyrophy3.spc Pyrophyllite SU1421', 'datolit1.spc Datolite HS442.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'elbaite2.spc Elbaite NMNH94217-1.b 196')","(0.25046703, 0.15878946, 0.044538606, 0.027976563, 0.018511437, 0.015238045, 0.010347612, 0.010013804)"
