Technique,Ordered Name,Coefficient
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'calcite1.spc Calcite WS272')","(0.3436733394688808, 0.0986000656524698, 0.057742924290612785, 0.0307557727434849)"
Mixed_Integer_Non-linear_Program,"('halloys5.spc Halloysite+Kaolinite CM29', 'analcime.spc Analcime GDS1', 'antigor1.spc Antigorite NMNH96917 >250', 'dolomit1.spc Dolomite HS102.3B')","(0.338948625342417, 0.1623343729006656, 0.03210132331745262, 0.006533606082443329)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall2.spc Carnallite HS430.3B', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.3207287804586003, 0.12582427334583662, 0.06511035043996734, 0.021231411716983995)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'mascagn2.spc Mascagnite GDS65.b (fn)')","(0.385019898809187, 0.13004820750811796, 0.0735101476369644, 0.01816470087503816)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'dolomit1.spc Dolomite HS102.3B')","(0.3826250804623669, 0.14242993732818285, 0.08279993508658498, 0.011792811663235429)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'strontia.spc Strontianite HS272.3B')","(0.32306123888769067, 0.1700401189367566, 0.08091418179685846, 0.025198797370651317)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall2.spc Carnallite HS430.3B', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.3159295933030796, 0.12733037464661617, 0.08751091482551884, 0.011577151348305415)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'alunite5.spc Alunite HS295.3B')","(0.3726119616290497, 0.12403089637016576, 0.09785526009699147, 0.027215049124263067)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'calcite2.spc Calcite HS48.3B')","(0.33606681144420353, 0.15031191038091432, 0.06417472868214821, 0.031885987799166945)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.30370756759583994, 0.1557357632981781, 0.06239705622466027, 0.046695388931816705)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.29407627313011586, 0.14752418879885193, 0.08698081608108642, 0.02702839149051828)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'saponit1.spc Saponite SapCa-1')","(0.32839811310356387, 0.13632719683505584, 0.049141158515218095, 0.02719924215950157)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'alunite1.spc Alunite GDS84 Na03')","(0.3093375683205334, 0.1372982479780484, 0.07989941901045203, 0.043228007149172534)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall2.spc Carnallite HS430.3B', 'alunite5.spc Alunite HS295.3B')","(0.34751529657484986, 0.13959301239905622, 0.10360952688198713, 0.04760496135839466)"
Mixed_Integer_Non-linear_Program,"('halloys5.spc Halloysite+Kaolinite CM29', 'analcime.spc Analcime GDS1', 'pyrophy2.spc Pyrophyllite PYS1A <850um', 'dolomit1.spc Dolomite HS102.3B')","(0.31357341279584194, 0.18196849810026386, 0.026964471461314823, 0.02372478130809727)"
Mixed_Integer_Non-linear_Program,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'carnall1.spc Carnallite NMNH98011', 'dolomit1.spc Dolomite HS102.3B')","(0.34665661066482806, 0.14258196330906156, 0.04930860238854162, 0.04179621282055714)"
