Technique,Ordered Name,Coefficient
Forward Stepwise Regression,"('strontia.spc Strontianite HS272.3B', 'beryl2.spc Beryl HS180.3B', 'montmor7.spc Montmorillonite CM26', 'analcime.spc Analcime GDS1')","(0.18064387142658234, 0.17985108494758606, 0.07029206305742264, 0.0)"
Forward Stepwise Regression,"('bassanit.spc Bassanite GDS145 (syn)', 'kaosmec5.spc Kaolin/Smect KLF511 12%K', 'calcite1.spc Calcite WS272', 'montmor9.spc Montmorillonite+Illi CM37')","(0.22569230198860168, 0.07832587510347366, 0.04526340216398239, 0.0)"
Forward Stepwise Regression,"('desertv2.spc Desert_Varnish GDS78A Rhy', 'palygor2.spc Palygorskite PFL-1', 'analcime.spc Analcime GDS1', 'kaosmec3.spc Kaolin/Smect H89-FR-2 50K')","(0.17157992720603943, 0.10337504744529724, 0.0, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'kaosmec5.spc Kaolin/Smect KLF511 12%K', 'silliman.spc Sillimanite HS186.3B', 'mizzoni2.spc Mizzonite BM1931-12', 'teepleit.spc Teepleite+Tron NMNH102798')","(0.1582026481628418, 0.1345963329076767, 0.07648777961730957, 0.031470220535993576, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'kaosmec5.spc Kaolin/Smect KLF511 12%K', 'mizzoni4.spc Mizzonite HS351.3BS', 'bassanit.spc Bassanite GDS145 (syn)', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.18344257771968842, 0.1740330308675766, 0.05133442208170891, 0.009363939985632896, 0.0)"
Forward Stepwise Regression,"('diaspore.spc Diaspore HS416.3B', 'gypsum2.spc Gypsum SU2202', 'siderite.spc Siderite HS271.3B', 'manganit.spc Manganite HS138.3B', 'zoisite.spc Zoisite HS347.3B')","(0.5172808766365051, 0.12337926775217056, 0.05724264681339264, 0.0, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'rhodoch2.spc Rhodochrosite HS67 <250um')","(0.17724919319152832, 0.09855224937200546, 0.07508876919746399)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'bassanit.spc Bassanite GDS145 (syn)', 'rhodoch1.spc Rhodochrosite HS338.3B', 'montmor5.spc Montmorillonite CM27')","(0.12781298160552979, 0.10287756472826004, 0.0427129827439785, 0.0)"
Forward Stepwise Regression,"('kaosmec5.spc Kaolin/Smect KLF511 12%K', 'bassanit.spc Bassanite GDS145 (syn)', 'topazi.spc Topaz HS184.3B')","(0.2882128357887268, 0.16628074645996094, 0.0)"
Forward Stepwise Regression,"('kaosmec4.spc Kaolin/Smect H89-FR-5 30K', 'palygor2.spc Palygorskite PFL-1', 'analcime.spc Analcime GDS1', 'muscovi3.spc Muscovite GDS111 Guatemal')","(0.19430474936962128, 0.07803201675415039, 0.0, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B')","(0.18882472813129425, 0.17250800132751465, 0.046825110912323)"
Forward Stepwise Regression,"('rhodoch2.spc Rhodochrosite HS67 <250um', 'montmor1.spc Montmorillonite SWy-1', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'analcime.spc Analcime GDS1')","(0.20158855617046356, 0.08630384504795074, 0.058235108852386475, 0.0)"
Forward Stepwise Regression,"('anorthi3.spc Anorthite HS349.3B', 'rhodoch1.spc Rhodochrosite HS338.3B', 'teepleit.spc Teepleite+Tron NMNH102798', 'andradi4.spc Andradite WS487', 'kaosmec3.spc Kaolin/Smect H89-FR-2 50K', 'analcime.spc Analcime GDS1')","(0.1595022827386856, 0.15376690030097961, 0.12429724633693695, 0.04539089277386665, 0.017101533710956573, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'cookeit3.spc Cookeite CAr-1.c <30um', 'calcite3.spc Calcite CO2004')","(0.1721334159374237, 0.11031869798898697, 0.05321095511317253, 0.03738151490688324)"
Forward Stepwise Regression,"('mizzoni3.spc Mizzonite HS350.3B HLSep', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'sepioli1.spc Sepiolite SepNev-1.AcB')","(0.23096424341201782, 0.14336247742176056, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor1.spc Montmorillonite SWy-1', 'teepleit.spc Teepleite+Tron NMNH102798', 'calcite3.spc Calcite CO2004', 'kaosmec5.spc Kaolin/Smect KLF511 12%K')","(0.1609358936548233, 0.07809111475944519, 0.07168328762054443, 0.054784100502729416, 0.05469834432005882)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'montmor1.spc Montmorillonite SWy-1', 'calcite3.spc Calcite CO2004')","(0.17361778020858765, 0.08225079625844955, 0.06729360669851303, 0.06016416847705841)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B')","(0.19929778575897217, 0.14355288445949554, 0.06011265516281128)"
Forward Stepwise Regression,"('diaspore.spc Diaspore HS416.3B', 'erionitm.spc Erionite+Merlinoit GDS144', 'analcime.spc Analcime GDS1', 'zoisite.spc Zoisite HS347.3B', 'spessar1.spc Spessartine NMNH14143')","(0.09207533299922943, 0.09030235558748245, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'rhodoch2.spc Rhodochrosite HS67 <250um', 'diaspore.spc Diaspore HS416.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C')","(0.21160119771957397, 0.08478202670812607, 0.05104213207960129, 0.028419841080904007)"
Forward Stepwise Regression,"('illite3.spc Illite IMt-1.b <2um', 'rhodoch2.spc Rhodochrosite HS67 <250um', 'topazi.spc Topaz HS184.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'analcime.spc Analcime GDS1')","(0.21492348611354828, 0.11784747242927551, 0.047248780727386475, 0.009110493585467339, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'kaosmec5.spc Kaolin/Smect KLF511 12%K', 'roscoeli.spc Roscoelite EN124', 'calcite3.spc Calcite CO2004', 'dolomit2.spc Dolomite COD2005', 'topaze.spc Topaz Mt._Antero_#5', 'bassanit.spc Bassanite GDS145 (syn)')","(0.13012123107910156, 0.1265067458152771, 0.07109647989273071, 0.03319080173969269, 0.015979744493961334, 0.010110273957252502, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'kaosmec5.spc Kaolin/Smect KLF511 12%K', 'rhodoch2.spc Rhodochrosite HS67 <250um', 'montmor1.spc Montmorillonite SWy-1')","(0.16679538786411285, 0.13401249051094055, 0.06604635715484619, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B')","(0.174811452627182, 0.11180052906274796, 0.06259748339653015)"
Forward Stepwise Regression,"('kaosmec5.spc Kaolin/Smect KLF511 12%K', 'spessar1.spc Spessartine NMNH14143', 'analcime.spc Analcime GDS1', 'grossul2.spc Grossular NMNH155371')","(0.18160180747509003, 0.16506049036979675, 0.14808227121829987, 0.0)"
