Technique,Ordered Name,Coefficient
HySudeB,"('lepidol5.spc Lepidolite NMNH105541', 'natroli2.spc Natrolite+Zeolit HS168.3B', 'rhodoch1.spc Rhodochrosite HS338.3B', 'natroli1.spc Natrolite HS169.3B')","(0.02225856183408587, 0.013672003271260214, 0.009509482300097039, 0.00914963673926496)"
HySudeB,"('c-black.spc Carbon_Black GDS68 sm.ap.', 'analcime.spc Analcime GDS1', 'ulexite1.spc Ulexite HS441.3B', 'lepidol3.spc Lepidolite NMNH105543', 'teepleit.spc Teepleite+Tron NMNH102798', 'rhodoch1.spc Rhodochrosite HS338.3B', 'carnall1.spc Carnallite NMNH98011', 'calcite1.spc Calcite WS272', 'europium.spc Europium_Oxide GDS33', 'beryl2.spc Beryl HS180.3B', 'opal2.spc Opal TM8896 (Hyalite)', 'strontia.spc Strontianite HS272.3B', 'topazi.spc Topaz HS184.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C')","(0.27413054763363726, 0.08920555331098388, 0.08505153298275549, 0.06879634276982492, 0.041611646398110456, 0.02955026634680144, 0.020561253539842318, 0.01651368871673506, 0.015796880907853975, 0.012336047058820219, 0.005729761990959386, 0.0033652202173328613, 0.001370729174872036, 0.001279054740218395)"
HySudeB,"('lepidol3.spc Lepidolite NMNH105543', 'h2o-ice.spc H2O-Ice GDS136 77K', 'chabazit.spc Chabazite HS193.3B', 'brucite.spc Brucite HS247.3B', 'gypsum1.spc Gypsum HS333.3B', 'syngenit.spc Syngenite GDS139', 'bloedite.spc Bloedite GDS147', 'natroli2.spc Natrolite+Zeolit HS168.3B', 'niter.spc Niter GDS43 (K-Saltpeter)')","(0.06751985505980129, 0.06208208978960954, 0.033099978760591606, 0.020839667266271376, 0.015871884799631215, 0.006579894101114285, 0.003005849228834717, 0.00253775136415522, 0.00127128014051852)"
HySudeB,"('hyperst3.spc Hypersthene PYX02.c 180um', 'ulexite1.spc Ulexite HS441.3B', 'bassanit.spc Bassanite GDS145 (syn)', 'azurite.spc Azurite WS316', 'lepidol5.spc Lepidolite NMNH105541', 'opal1.spc Opal WS732', 'analcime.spc Analcime GDS1', 'teepleit.spc Teepleite+Tron NMNH102798', 'nontron3.spc Nontronite NG-1.b <2um fr', 'h2o-ice.spc H2O-Ice GDS136 77K', 'topaze.spc Topaz Mt._Antero_#5', 'nontron4.spc Nontronite SWa-1.a', 'colemani.spc Colemanite GDS143', 'natroli1.spc Natrolite HS169.3B', 'natroli2.spc Natrolite+Zeolit HS168.3B')","(0.08413845781443434, 0.07094626726336259, 0.06335642108454298, 0.06121930093775119, 0.05711715421696763, 0.03784875454594274, 0.036271223954122, 0.017401354458456534, 0.016991272993062072, 0.010524880898000561, 0.005569588434532365, 0.005029452541065678, 0.0033098642129749997, 0.0019049530684991404, 0.00022433231818899427)"
HySudeB,"('epsomite.spc Epsomite GDS149', 'kainite.spc Kainite NMNH83904', 'lepidol5.spc Lepidolite NMNH105541', 'elbaite1.spc Elbaite NMNH94217-1.a 659', 'stilbit2.spc Stilbite HS482.3B', 'carnall2.spc Carnallite HS430.3B', 'montmor3.spc Montmorillonite SCa-2.a')","(0.08888413593916804, 0.0449020659621277, 0.022189736821456068, 0.012351018750335285, 0.009191252069520147, 0.004379130398270668, 0.003511916843211363)"
HySudeB,"('natroli1.spc Natrolite HS169.3B', 'muscovic.spc Muscovite HS24.3', 'witherit.spc Witherite HS273.3B', 'syngenit.spc Syngenite GDS139', 'niter.spc Niter GDS43 (K-Saltpeter)', 'praseody.spc Praseodymium_Oxide GDS35', 'malachit.spc Malachite HS254.3B', 'phlogop3.spc Phlogopite WS496')","(0.020698852880788883, 0.014822127424005092, 0.00872018621612985, 0.008385312670144432, 0.006916586944438805, 0.001078176425259648, 0.00042313236636399437, 1.736313315006751e-05)"
HySudeB,"('h2o-ice.spc H2O-Ice GDS136 77K', 'epsomite.spc Epsomite GDS149', 'kainite.spc Kainite NMNH83904', 'colemani.spc Colemanite GDS143', 'lepidol3.spc Lepidolite NMNH105543', 'natroli1.spc Natrolite HS169.3B', 'topazi.spc Topaz HS184.3B', 'brucite.spc Brucite HS247.3B')","(0.031217722447499707, 0.02093899817890671, 0.02048049816068207, 0.019563226170020504, 0.01335471843603681, 0.0015358438183250506, 0.0013339696116795297, 0.0006890753115376811)"
HySudeB,"('carnall2.spc Carnallite HS430.3B', 'h2o-ice.spc H2O-Ice GDS136 77K', 'lepidol2.spc Lepidolite NMNH105538', 'natroli2.spc Natrolite+Zeolit HS168.3B', 'brucite.spc Brucite HS247.3B', 'kainite.spc Kainite NMNH83904', 'analcime.spc Analcime GDS1')","(0.07375618479863284, 0.07044034570236013, 0.05190473754873795, 0.0330621269833912, 0.02747171814025508, 0.013310445827626314, 0.009050868820434646)"
HySudeB,"('h2o-ice.spc H2O-Ice GDS136 77K', 'ulexite1.spc Ulexite HS441.3B', 'lepidol3.spc Lepidolite NMNH105543', 'illite1.spc Illite GDS4 (Marblehead)', 'c-black.spc Carbon_Black GDS68 sm.ap.', 'montmor7.spc Montmorillonite CM26', 'dolomit1.spc Dolomite HS102.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C', 'gypsum2.spc Gypsum SU2202', 'montmor6.spc Montmorillonite CM20', 'zoisite.spc Zoisite HS347.3B', 'hyperst4.spc Hypersthene PYX02.b 120um', 'hyperst2.spc Hypersthene PYX02.h >250u', 'mizzoni4.spc Mizzonite HS351.3BS', 'epidote3.spc Epidote HS328.3B', 'glauconi.spc Glauconite HS313.3B', 'topazi.spc Topaz HS184.3B')","(0.11364608937019756, 0.08739443555043713, 0.06546510487006756, 0.06312069845483614, 0.05977449799419429, 0.04335982000480098, 0.03799961571651865, 0.03787667939054284, 0.03697571585451698, 0.008865761675619319, 0.008647050221568083, 0.0041371574152695625, 0.0037269984132054157, 0.002756407525269403, 0.0025509314447678074, 0.002340840963918147, 2.170667273782307e-05)"
HySudeB,"('kainite.spc Kainite NMNH83904', 'lepidol5.spc Lepidolite NMNH105541', 'montmor3.spc Montmorillonite SCa-2.a', 'analcime.spc Analcime GDS1', 'natroli2.spc Natrolite+Zeolit HS168.3B')","(0.06400143609615759, 0.06218910369381883, 0.04669193892171238, 0.007187492081695364, 0.004829005328032822)"
HySudeB,"('natroli2.spc Natrolite+Zeolit HS168.3B', 'lepidol5.spc Lepidolite NMNH105541', 'phalite.spc Polyhalite NMNH92669-4', 'epsomite.spc Epsomite GDS149', 'kainite.spc Kainite NMNH83904', 'stilbit2.spc Stilbite HS482.3B', 'chabazit.spc Chabazite HS193.3B')","(0.042427184545218974, 0.02938742751269951, 0.02285273397950566, 0.01836812360706666, 0.01239473862446063, 0.0019599188217783847, 0.0006344777878801464)"
HySudeB,"('h2o-ice.spc H2O-Ice GDS136 77K', 'topazi.spc Topaz HS184.3B', 'lepidol5.spc Lepidolite NMNH105541', 'brucite.spc Brucite HS247.3B')","(0.04075115631723514, 0.009087196860374392, 0.00317402783404246, 0.0011052988103478771)"
HySudeB,"('h2o-ice.spc H2O-Ice GDS136 77K', 'bloedite.spc Bloedite GDS147', 'natroli1.spc Natrolite HS169.3B', 'niter.spc Niter GDS43 (K-Saltpeter)', 'phalite.spc Polyhalite NMNH92669-4', 'topaze.spc Topaz Mt._Antero_#5', 'lepidol5.spc Lepidolite NMNH105541')","(0.023650190394199824, 0.01855981709067948, 0.00975959751078169, 0.006842546610785517, 0.0019611769771537084, 0.0004096586258533522, 5.042961459401855e-05)"
