Technique,Ordered Name,Coefficient
LASSO Regression,"('analcime.spc Analcime GDS1', 'lepidol5.spc Lepidolite NMNH105541', 'laumonti.spc Laumontite GDS5', 'strontia.spc Strontianite HS272.3B', 'montmor8.spc Montmorillonite STx-1', 'carnall1.spc Carnallite NMNH98011', 'phalite.spc Polyhalite NMNH92669-4', 'chlorit3.spc Chlorite SMR-13.b 60-104u')","(0.17915869, 0.039565355, 0.02929775, 0.025651274, 0.023612501, 0.01448834, 0.004671294, 0.0006714001)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'lepidol5.spc Lepidolite NMNH105541', 'strontia.spc Strontianite HS272.3B', 'carnall1.spc Carnallite NMNH98011', 'rhodoch1.spc Rhodochrosite HS338.3B', 'chlorit3.spc Chlorite SMR-13.b 60-104u')","(0.18897389, 0.037693895, 0.022717588, 0.01887835, 0.010770516, 0.009762671, 0.00083355396)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'lepidol5.spc Lepidolite NMNH105541', 'chlorit3.spc Chlorite SMR-13.b 60-104u', 'rhodoch1.spc Rhodochrosite HS338.3B', 'carnall1.spc Carnallite NMNH98011', 'phalite.spc Polyhalite NMNH92669-4', 'laumonti.spc Laumontite GDS5')","(0.17103162, 0.033427477, 0.03130967, 0.019080216, 0.010660787, 0.008103173, 0.005732267, 0.0044263205)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'carnall1.spc Carnallite NMNH98011', 'lepidol5.spc Lepidolite NMNH105541', 'strontia.spc Strontianite HS272.3B', 'rhodoch1.spc Rhodochrosite HS338.3B', 'laumonti.spc Laumontite GDS5', 'neodymiu.spc Neodymium_Oxide GDS34', 'chlorit3.spc Chlorite SMR-13.b 60-104u')","(0.17600748, 0.07825673, 0.031979587, 0.026387306, 0.025856575, 0.007985951, 0.0056619514, 0.0021059974, 0.00035752414)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B', 'carnall1.spc Carnallite NMNH98011', 'lepidol5.spc Lepidolite NMNH105541')","(0.20443164, 0.034814276, 0.028183639, 0.02497598, 0.015902014)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'lepidol5.spc Lepidolite NMNH105541', 'strontia.spc Strontianite HS272.3B', 'carnall1.spc Carnallite NMNH98011', 'montmor8.spc Montmorillonite STx-1')","(0.1922755, 0.0254525, 0.023963049, 0.020460721, 0.013454808)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B', 'lepidol5.spc Lepidolite NMNH105541', 'carnall1.spc Carnallite NMNH98011', 'sepioli3.spc Sepiolite SepSp-1', 'saponit2.spc Saponite SapCa-1.AcB', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.18272729, 0.0670092, 0.02623278, 0.026183803, 0.019073332, 0.011714922, 0.0017154047, 0.000552979)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B', 'lepidol5.spc Lepidolite NMNH105541', 'carnall1.spc Carnallite NMNH98011', 'neodymiu.spc Neodymium_Oxide GDS34', 'chlorit3.spc Chlorite SMR-13.b 60-104u')","(0.19086601, 0.059389144, 0.019060252, 0.018909736, 0.018555196, 0.015594988, 0.0062783225)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'carnall1.spc Carnallite NMNH98011', 'lepidol5.spc Lepidolite NMNH105541', 'strontia.spc Strontianite HS272.3B', 'chlorit3.spc Chlorite SMR-13.b 60-104u', 'neodymiu.spc Neodymium_Oxide GDS34', 'montmor2.spc Montmorillonite SAz-1')","(0.17889081, 0.029071344, 0.020259561, 0.018921403, 0.011654356, 0.009035666, 0.008343207, 0.00021448646)"
LASSO Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'rhodoch1.spc Rhodochrosite HS338.3B', 'lepidol5.spc Lepidolite NMNH105541', 'strontia.spc Strontianite HS272.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C')","(0.20791803, 0.030500319, 0.02883058, 0.019352892, 0.011677421, 0.002475597)"
