Technique,Ordered Name,Coefficient
Mixed_Integer_Non-linear_Program,"('analcime.spc Analcime GDS1', 'montmor5.spc Montmorillonite CM27', 'rhodoch1.spc Rhodochrosite HS338.3B', 'jarosit1.spc Jarosite GDS99 K-y 200C')","(0.17934919260273285, 0.151957768037894, 0.08589918386281374, 0.04038780419346665)"
Mixed_Integer_Non-linear_Program,"('montmor7.spc Montmorillonite CM26', 'analcime.spc Analcime GDS1', 'strontia.spc Strontianite HS272.3B', 'a-jarosi.spc Ammonio-jarosite SCR-NHJ')","(0.16586017686667287, 0.1635570408804001, 0.06141884903791813, 0.025358453490797777)"
Mixed_Integer_Non-linear_Program,"('beryl2.spc Beryl HS180.3B', 'analcime.spc Analcime GDS1', 'lepidol3.spc Lepidolite NMNH105543', 'chlorit2.spc Chlorite SMR-13.a 104-150')","(0.1488458163405607, 0.13059024269193262, 0.08989995496398476, 0.04347690535572778)"
Mixed_Integer_Non-linear_Program,"('montmor6.spc Montmorillonite CM20', 'analcime.spc Analcime GDS1', 'beryl2.spc Beryl HS180.3B', 'grossul1.spc Grossular HS113.3B-HCL')","(0.14041877295961236, 0.13388296172358968, 0.10451092817229433, 0.06491342438138414)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'montmor5.spc Montmorillonite CM27', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.32529008461810716, 0.22639589681626482, 0.10076300867436218, 0.0439253333380518)"
Mixed_Integer_Non-linear_Program,"('analcime.spc Analcime GDS1', 'montmor6.spc Montmorillonite CM20', 'strontia.spc Strontianite HS272.3B', 'lepidol2.spc Lepidolite NMNH105538')","(0.2106776395968558, 0.1717111037728332, 0.04581360466785542, 0.02406444106772998)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'montmor3.spc Montmorillonite SCa-2.a', 'lepidol2.spc Lepidolite NMNH105538')","(0.6899638477435821, 0.26658609591682786, 0.21804925168927372, 0.06506138446367507)"
Mixed_Integer_Non-linear_Program,"('montmor6.spc Montmorillonite CM20', 'beryl2.spc Beryl HS180.3B', 'analcime.spc Analcime GDS1', 'grossul1.spc Grossular HS113.3B-HCL')","(0.14785748552063654, 0.1383710423108515, 0.11731096194059334, 0.0627584608962977)"
Mixed_Integer_Non-linear_Program,"('beryl2.spc Beryl HS180.3B', 'analcime.spc Analcime GDS1', 'gibbsit1.spc Gibbsite HS423.3B', 'strontia.spc Strontianite HS272.3B')","(0.15273581663539676, 0.1432436622836971, 0.0776409119509327, 0.03172915525316011)"
Mixed_Integer_Non-linear_Program,"('beryl2.spc Beryl HS180.3B', 'analcime.spc Analcime GDS1', 'mizzoni4.spc Mizzonite HS351.3BS', 'jarosit1.spc Jarosite GDS99 K-y 200C')","(0.13975654466266155, 0.12571332877163377, 0.08675870175677781, 0.04001821083366724)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'montmor6.spc Montmorillonite CM20', 'strontia.spc Strontianite HS272.3B')","(0.4549429774240719, 0.232447090924881, 0.14364316375996455, 0.02720403220626129)"
Mixed_Integer_Non-linear_Program,"('mascagn1.spc Mascagnite GDS65.a (crs)', 'analcime.spc Analcime GDS1', 'montmor6.spc Montmorillonite CM20', 'rhodoch1.spc Rhodochrosite HS338.3B')","(0.6065778933896961, 0.2571991770568652, 0.12262352090106333, 0.028595970676580644)"
